,id,title,label
99,199,automatic online news topic ranking using media focus and user attention based on aging theory,0
100,203,semi supervised classification using sparse gaussian process regression,2
101,204,parallel randomized state space search,3
102,205,coarse indices for a tape based data warehouse,1
103,206,a new algorithm for scalar register promotion based on ssa form,3
104,208,query graphs implementing trees and freely reorderable outerjoins,1
105,210,development of a large concept oriented database for information retrieval,0
106,211,frame rules from answer types for code pointers,3
107,212,using navigation data to improve ir functions in the context of web search,0
108,213,exploiting informative priors for bayesian classification and regression trees,2
109,214,the aqua approach to querying lists and trees in object oriented databases,1
110,215,redescription mining structure theory and algorithms,2
111,217,efficient skyline computation over low cardinality domains,1
112,218,freespan frequent pattern projected sequential pattern mining,0
113,219,scheduling and data replication to improve tape jukebox performance,1
114,220,phi   a logic based tool for intelligent help systems,2
115,221,combining link and content for community detection a discriminative approach,0
116,222,on indexing error tolerant set containment,1
117,224,document expansion for speech retrieval,0
118,225,automatically classifying benign and harmful data racesallusing replay analysis,3
119,226,functional constraints in knowledge based natural language understanding,4
120,229,visualization and the process of modeling a cognitive theoretic view,0
121,230,dynamic finite versioning an effective versioning approach to concurrent transaction and query processing,1
122,233,dantes an expert system for real time network troubleshooting,2
123,234,what is decreased by the max sum arc consistency algorithm,2
124,239,agent human interactions in the continuous double auction,2
125,241,engineering information systems implementation approaches and issues,1
126,243,the optimization strategy for query evaluation in rdbv1,1
127,244,automatic inline allocation of objects,3
128,249,using parsed corpora for structural disambiguation in the trains domain,4
129,250,agent based control for object manipulation with modular self reconfigurable robots,2
130,251,a top down approach for two level serializability,1
131,252,topological mapping through distributed passive sensors,2
132,253,a scheme for feature construction and a comparison of empirical methods,2
133,254,hypergraph spectral learning for multi label classification,0
134,257,on the economics of mass marketed software,3
135,259,on arabic search improving the retrieval effectiveness via a light stemming approach,0
136,262,grammatical inference as a principal component analysis problem,2
137,265,parsimonious concept modeling,0
138,266,eliminating false positives during corner finding by merging similar segments,2
139,268,a large scale active learning system for topical categorization on the web,0
140,269,salsa computing the skyline without scanning the whole sky,0
141,270,partial evaluation as a means for inferencing data structures in an applicative language a theory and implementation in the case of prolog,3
142,271,making service learning accessible to computer scientists,3
143,272,query chains learning to rank from implicit feedback,0
144,274,a comparison of head transducers and transfer for a limited domain translation application,4
145,276,knowledge mining by imprecise querying a classification based approach,1
146,277,a concept of derivation for lfg,4
147,280,index access with a finite buffer,1
148,281,handling alternative activities in resource constrained project scheduling problems,2
149,282,denali a goal directed superoptimizer,3
150,284,improving the quality of uml models in practice,3
151,285,computer architecture and mental models,3
152,286,lexeme based morphology a computationaily expensive approach intended for a server architecture,4
153,288,modeling lsh for performance tuning,0
154,296,parallel grace hash join on shared everything multiprocessor implementation and performance evaluation on symmetry s81,1
155,297,two directional record layout for multiple inheritance,3
156,299,recursion in logics of programs,3
157,303,zoomuserviews querying relevant provenance in workflow systems,1
158,308,reporting about industrial strength software engineering courses for undergraduates,3
159,309,network latency optimizations in distributed database systems,1
160,313,process programming by hindsight,3
161,318,thematic mapping   from unstructured documents to taxonomies,0
162,319,technology transfer macro process a practical guide for the effective introduction of technology,3
163,320,the organizational and informational context of large business system integration projects,1
164,321,gess a scalable similarity join algorithm for mining large data sets in high dimensional spaces,0
165,325,automatic link detection a sequence labeling approach,0
166,328,partial collection replication versus caching for information retrieval systems,0
167,331,alternatives to two classic data structures,3
168,335,constraint propagation and value acquisition why we should do it interactively,2
169,337,translating topics to words for image annotation,0
170,339,consequence relations in drt,4
171,343,mapping wordnets using structural information,4
172,345,implementing high level active rules on top of a relational dbms,1
173,346,efficient region based image retrieval,0
174,347,using morphological and syntactic structures for chinese opinion analysis,4
175,348,handling frequent updates of moving objects,0
176,350,language acquisition as learning,4
177,352,teaching inter object design patterns to freshmen,3
178,355,neural computing on a one dimensional simd array,2
179,356,unbundling active functionality,1
180,358,fuzzy induction in dynamic user profiling for information filtering,2
181,361,psst a web based system for tracking political statements,0
182,366,towards an enterprise xml architecture,1
183,369,inference rules for high order consistency in weighted csp,2
184,370,text segmentation based on similarity between words,4
185,372,clinical and financial outcomes analysis with existing hospital patient records,0
186,373,disjoint interval topological sort a useful concept in serializability theory extended abstract,1
187,374,automatic detection of poor speech recognition at the dialogue level,4
188,375,teaching introductory java through lego mindstorms models,3
189,376,semi supervised learning of partial cognates using bilingual bootstrapping,4
190,377,automatic construction of polarity tagged corpus from html documents,4
191,378,exploiting value added content in an online course introducing programming concepts via html and javascript,3
192,379,a review of automated debugging systems knowledge strategies and techniques,3
193,380,a kernel path algorithm for support vector machines,2
194,381,an abuse free fair contract signing protocol based on the rsa signature,0
195,382,evolutionary document summarization for disaster management,0
196,383,online learning in monkeys,2
197,386,a comparison of operating systems courseware,3
198,388,on the impact of a collaborative pedagogy on african american millennial students in software engineering,3
199,389,complexity in classificatory reasoning,2
200,390,hyperbf networks for real object recognition,2
201,393,an examination of the current state of ipse technology,3
202,394,learning bilingual collocations by word level sorting,4
203,395,scalable temporal reasoning,2
204,397,an explanation facility for a grammar writing system,4
205,398,privacy and security of data communications and data bases,1
206,400,anyone but him the complexity of precluding an alternative,2
207,402,saiu an efficient cache replacement policy for wireless on demand broadcasts,0
208,404,graphical xquery in the aqualogic data services platform,1
209,405,a functional approach to generation with tag,4
210,407,bayesian regression with input noise for high dimensional data,2
211,409,the semantics of program dependence,3
212,419,dynamic information visualization,1
213,422,backjumping for quantified boolean logic satisfiability,2
214,423,effect of varying number of documents in blind feedback analysis of the 2003 nrrc ria workshop bfnumdocs experiment suite,0
215,424,the evolution of the programming languages course,3
216,426,safe and efficient sharing of persistent objects in thor,1
217,427,making bound consistency as effective as arc consistency,2
218,428,a simple and efficient sampling method for estimating ap and ndcg,0
219,429,position paper a comparison of two modelling paradigms in the semantic web,0
220,430,planning with graded fluents and actions,2
221,431,cmradar a personal assistant agent for calendar management,2
222,432,web derived pronunciations for spoken term detection,0
223,434,optimization of html automatically generated by wysiwyg programs,0
224,435,combining multiple evidence from different types of thesaurus for query expansion,0
225,437,static typing for dynamic messages,3
226,441,interactive pushdown automata animation,3
227,443,domain independent approaches for finding diverse plans,2
228,448,call forwarding a simple interprocedural optimization technique for dynamically typed languages,3
229,449,an lr category neutral parser with left corner prediction,4
230,451,set oriented mining for association rules in relational databases,1
231,452,pruning nested xquery queries,0
232,453,hypergraph partitioning for document clustering a unified clique perspective,0
233,455,hidden understanding models of natural language,4
234,457,search on high degree graphs,2
235,458,computational thinking for the sciences a three day workshop for high school science teachers,3
236,459,temporally coarse representation of behavior for model based troubleshooting of digital circuits,2
237,461,forward search value iteration for pomdps,2
238,462,letting the cat out of the bag generation for shake and bake mt,4
239,463,relaxed currency and consistency how to say good enough in sql,1
240,465,partial join order optimization in the paraccel analytic database,1
241,466,load management and high availability in the medusa distributed stream processing system,1
242,468,implementation techniques for main memory database systems,1
243,469,effects of defects in uml models an experimental investigation,3
244,470,introducing actions into qualitative simulation,2
245,471,semantic database mapping in eufid,1
246,474,expressiveness of xsds from practice to theory there and back again,0
247,475,consequence finding based on ordered linear resolution,2
248,476,a morphographemic model for error correction in nonconcatenative strings,4
249,479,adapting materialized views after redefinitions,1
250,480,entity relationship diagrams and english an analysis of some problems encountered in a database design course,3
251,481,prediction and indexing of moving objects with unknown motion patterns,1
252,482,queries in object oriented databases,1
253,485,positive supercompilation for a higher order call by value language,3
254,488,kernelized value function approximation for reinforcement learning,2
255,494,maximum entropy based phrase reordering model for statistical machine translation,4
256,497,query optimization in a heterogeneous dbms,1
257,499,global communication analysis and optimization,3
258,501,interoperable query processing with multiple heterogeneous knowledge servers,0
259,502,using fast weights to improve persistent contrastive divergence,2
260,503,encapsualtion and reuse as viewed by java students,3
261,505,computerised information retrieval systems for open learning,0
262,508,alpha an extension of relational algebra to express a class of recursive queries,1
263,509,improving adaptable similarity query processing by using approximations,1
264,512,improved query performance with variant indexes,1
265,516,language independent interactive data visualization,3
266,517,on search performance for conjunctive queries in compressed fully transposed ordered files,1
267,519,object oriented specification of databases an algebraic approach,1
268,520,w3qs   a system for www querying,1
269,521,survivability analysis of network systems,3
270,522,spatial searching in geometric databases,1
271,523,active exploration for learning rankings from clickthrough data,0
272,524,overview of the jasmin database machine,1
273,528,towards automatic extraction of monolingual and bilingual terminology,4
274,530,comparison criteria for semantic data models,1
275,531,computing in context integrating an embedded computing project into a course on ethical and societal issues,3
276,533,semantic queries in databases problems and challenges,0
277,535,an extended memoryless inference control method accounting for dependence in table level controls,1
278,536,polyphony and argumentative semantics,4
279,539,logistic online learning methods and their application to incremental dependency parsing,4
280,540,table driven neural syntactic analysis of spoken korean,4
281,541,on bayesian bounds,2
282,545,solving thematic divergences in machine translation,4
283,549,the design of data type specifications,3
284,552,taxonomic reasoning,2
285,555,unsupervised morphological segmentation and clustering with document boundaries,4
286,557,massively multi query join processing in publishsubscribe systems,1
287,558,referring to world objects with text and pictures,4
288,559,query execution assurance for outsourced databases,1
289,560,computing factored value functions for policies in structured mdps,2
290,561,from databases to dataspaces a new abstraction for information management,1
291,563,a bio inspired approach for multi word expression extraction,4
292,564,using path information for query processing in object oriented database systems,0
293,565,context sensitive vocabulary mapping with a spreading activation network,0
294,567,parallel distributed belief networks that learn,2
295,568,bypass rates reducing query abandonment using negative inferences,0
296,570,agile adaptive indexing for context aware information filters,1
297,573,taxonomic and uncertain integrity constraints in object oriented databases   the top approach,0
298,574,integrated program measurement and documentation tools,3
299,575,pre programming analysis tutors help students learn basic programming concepts,3
300,579,relative efficiency of alpha beta implementations,2
301,580,dynamic faceted search for discovery driven analysis,0
302,585,on slicing programs with jump statements,3
303,588,markov decision processes for control of a sensor network based health monitoring system,2
304,589,data mining to detect abnormal behavior in aerospace data,0
305,590,from region inference to von neumann machines via region representation inference,3
306,592,the problem of identification,1
307,593,exploiting parallel texts for word sense disambiguation an empirical study,4
308,594,quantminer a genetic algorithm for mining quantitative association rules,2
309,595,micmac a microprogram simulator for courses in computer organization,3
310,597,a comparison of flexible schemas for software as a service,1
311,598,adon an intelligent overlay video advertising system,0
312,599,selecting the right interestingness measure for association patterns,0
313,600,learning strategies for story comprehension a reinforcement learning approach,2
314,601,clause restructuring for statistical machine translation,4
315,603,construction of a blog emotion corpus for chinese emotional expression analysis,4
316,605,multi winner elections complexity of manipulation control and winner determination,2
317,606,symbolic transfer function based approaches to certified compilation,3
318,607,locating data sources in large distributed systems,1
319,609,designing laboratory modules for novices in an undergraduate ai course track artificial intelligence,3
320,611,learning to improve both efficiency and quality of planning,2
321,612,arabic finite state morphological analysis and generation,4
322,613,zero pronouns as experiencer in japanese discourse,4
323,614,maintaining arc consistency using adaptive domain ordering,2
324,615,a knowledge structure for reusing abstract data types,3
325,617,rapid application prototyping the proquel language,1
326,620,on the covering of left recursive grammars,3
327,626,copy on write in the php language,3
328,629,spatial aggregation for qualitative assessment of scientific computations,2
329,630,right  left  and multi linear rule transformations that maintain context information,1
330,631,the echo method concurrency control method for a large scale distributed database,1
331,632,performance evaluation of a distributed architecture for information retrieval,0
332,634,anticipating the readers problems and the automatic generation of paraphrases,4
333,635,on the properties of extended inclusion dependencies,1
334,639,temporal database system implementations,1
335,640,effective and efficient update of xml in rdbms,1
336,641,sqlxnf   processing composite objects as abstractions over relational data,1
337,643,harmonic mixtures combining mixture models and graph based methods for inductive and scalable semi supervised learning,2
338,645,a new scheme for reinforcing concepts in cs2,3
339,646,a co classification framework for detecting web spam and spammers in social media web sites,0
340,647,high diversity transforms multimedia information retrieval into a cross cutting field report on the 8th workshop on multimedia information retrieval,1
341,650,a hybrid approach to the automatic planning of textual structures,4
342,653,a variational learning algorithm for the abstract hidden markov model,2
343,655,a prototype english japanese machine translation system for translating ibm computer manuals,4
344,656,event processing with an oracle database,1
345,658,line labeling and junction labeling a coupled system for image interpretation,2
346,661,asymmetric boosting,2
347,662,self taught learning transfer learning from unlabeled data,2
348,663,maintaining coherency of dynamic data in cooperating repositories,1
349,664,a methodology for decomposing system requirements into data processing requirements,3
350,665,neptune a hypertext system for cad applications,1
351,667,netserf using semantic knowledge to find internet information archives,0
352,668,reliable transaction management in a multidatabase system,1
353,670,security in outsourcing of association rule mining,1
354,671,a compression technique for large statistical data bases,1
355,672,medialife from images to a life chronicle,1
356,673,margin based feature selection   theory and algorithms,2
357,675,inferring function semantics to optimize queries,1
358,676,sin integrating case based reasoning with task decomposition,2
359,679,algovista an algorithmic search tool in an educational setting,3
360,681,short term performance forecasting in enterprise systems,0
361,682,detecting phrase level duplication on the world wide web,0
362,685,weaving cs into cs1 a doubly depth first approach,3
363,686,using syntactic information for improving why question answering,4
364,690,configuration management in biin sms,3
365,693,robust and fast similarity search for moving object trajectories,1
366,694,aggregate evaluability in statistical databases,1
367,700,serfing the web web site management made easy,1
368,703,cabob a fast optimal algorithm for combinatorial auctions,2
369,705,learning and making decisions when costs and probabilities are both unknown,0
370,707,a model of queries for object oriented databases,1
371,711,interactive speech understanding,4
372,714,how to integrate fpgas into a computer organization course,3
373,716,reasoning in expressive description logics with fixpoints based on automata on infinite trees,2
374,717,total order planning with partially ordered subtasks,2
375,720,extracting redundancy aware top k patterns,0
376,722,learning first order rules from data with multiple parts applications on mining chemical compound data,2
377,723,controlling production firing the fcl language,2
378,724,a tribute not a memorial understanding ambiguous loss,1
379,728,hierarchical model based clustering of large datasets through fractionation and refractionation,0
380,731,the implementation of an integrated concurrency control and recovery scheme,1
381,733,task allocation via self organizing swarm coalitions in distributed mobile sensor network,2
382,734,search based query suggestion,0
383,736,methods for empirical game theoretic analysis,2
384,738,approximate string joins in a database almost for free,1
385,740,syntax semantics and pragmatics in concert an incremental multilevel approach in reconstructing task oriented dialogues,2
386,741,the role of macros in tractable planning over causal graphs,2
387,742,maximal incrementality in linear categorial deduction,4
388,745,the grammatical function analysis between korean adnoun clause and noun phrase by using support vector machines,4
389,746,supernode partitioning,3
390,747,hypertalk as an overture to cs1,3
391,749,query flocks a generalization of association rule mining,1
392,751,supporting context based query in personal dataspace,0
393,753,planning with abstraction hierarchies can be exponentially less efficient,2
394,754,a study of algorithm animations on mobile devices,3
395,757,redundancy in spatial databases,1
396,760,intention based segmentation human reliability and correlation with linguistic cues,4
397,762,a java api for historical ciphers an object oriented design project,3
398,764,the game of set® an ideal example for introducing polymorphism and design patterns,3
399,765,graph structured stack and natural language parsing,4
400,766,detection of multiple deformable objects using pca sift,2
401,768,classification enhanced ranking,0
402,774,the lrpd test speculative run time parallelization of loops with privatization and reduction parallelization,3
403,776,analyzing the test process using structural coverage,3
404,777,structure charts and program correctness proofs,3
405,778,the present and future of computational thinking,3
406,781,dynamic configuration of agent organizations,2
407,783,pinwheel scheduling for fault tolerant broadcast disks in real time database systems,1
408,789,structure learning on large scale common sense statistical models of human state,2
409,791,document release versus data access controls two sides of the same coin,0
410,792,power efficient data gathering and aggregation in wireless sensor networks,1
411,794,a theory of probabilistic functional testing,3
412,795,safe to the last instruction automated verification of a type safe operating system,3
413,796,on the production of anorexic plan diagrams,1
414,797,vision paper enabling privacy for the paranoids,1
415,798,semiautomatic evaluation of retrieval systems using document similarities,0
416,800,a framework for declarative update specifications in logic programs,2
417,805,integrating diverse reasoning methods in the bb1 blackboard control architecture,2
418,806,efficient reinforcement learning in factored mdps,2
419,809,early prediction of software component reliability,3
420,816,mixed integer programming methods for finding nash equilibria,2
421,817,privacy without noise,0
422,818,evaluating similarity measures a large scale study in the orkut social network,0
423,821,software engineering as it is,3
424,825,a general regression technique for learning transductions,2
425,828,test driven design for introductory oo programming,3
426,830,hyperqueries dynamic distributed query processing on the internet,1
427,831,viewing stemming as recall enhancement,0
428,841,distributed deviation detection in sensor networks,1
429,842,hilbert r tree an improved r tree using fractals,1
430,845,information translation mediation and mosaic based browsing in the tsimmis system,1
431,846,effective software architecture design from global analysis to uml descriptions,3
432,847,algebraic reasoning and completeness in typed languages,3
433,848,immix a mark region garbage collector with space efficiency fast collection and mutator performance,3
434,849,measuring and improving the effectiveness of representations,2
435,850,a taxonomy of data models,1
436,851,minimum cut model for spoken lecture segmentation,4
437,852,two semantic worlds a data base system with provision for natural language input,2
438,856,dynamic in page logging for flash aware b tree index,0
439,860,a framework for supporting data integration using the materialized and virtual approaches,1
440,862,transparent mid tier database caching in sql server,1
441,863,queueing analysis of relational operators for continuous data streams,0
442,864,categorical skylines for streaming data,1
443,865,document representation models for retrieval systems,0
444,866,cs1 assessment using memory diagrams,3
445,867,making resource decisions for software projects,3
446,869,equi depth histograms for estimating selectivity factors for multi dimensional queries,1
447,870,algorithmic aspects of type inference with subtypes,3
448,871,personalisation of telecommunications services as combinatorial optimisation,2
449,872,cache invalidation scheme for mobile computing systems with real time data,1
450,873,web cam monitoring the dynamic web to respond to continual queries,1
451,878,a learning scheme for generating expressive music performances of jazz standards,2
452,879,feedback directed random test generation,3
453,880,on detecting space time clusters,0
454,881,practical hardware for linear execution of relational database operations,1
455,882,quantifying the costs and benefits of architectural decisions,3
456,884,on decision theoretic foundations for defaults,2
457,885,spectral domain transfer learning,0
458,889,fault tolerant load balancing queries in telegraph,1
459,891,a method for word sense disambiguation of unrestricted text,4
460,892,pure versus impure lisp,3
461,893,large margin boltzmann machines,2
462,897,aggregation algorithms for very large compressed data warehouses,1
463,898,reformatting web documents via header trees,4
464,900,semi supervised learning using label mean,2
465,901,a parallel processing strategy for evaluating recursive queries,1
466,903,interferring discourse relations in context,4
467,904,overview and evaluation of constraint validation approaches in java,3
468,907,language emulator a helpful toolkit in the learning process of computer theory,3
469,913,towards extracting flickr tag semantics,0
470,915,derivation of recursive algorithms for cs2,3
471,917,experience learning in model based diagnostic systems,2
472,923,incorporating redundant learned rules a preliminary formal analysis of ebl,2
473,924,efficient planning of informative paths for multiple robots,2
474,926,mining features for sequence classification,0
475,927,predicting faults using the complexity of code changes,3
476,928,forgetting actions in domain descriptions,2
477,930,on privacy preservation against adversarial data mining,0
478,932,a hierarchical account of referential accessibility,4
479,933,an association analysis approach to biclustering,0
480,936,a machine learning approach for statistical software testing,2
481,938,a transfer model using a typed feature structure rewriting system with inheritance,4
482,939,pcfgs with syntactic and prosodic indicators of speech repairs,4
483,941,a quasi newton approach to non smooth convex optimization,2
484,942,two in the middle digital character production and machinima courses,3
485,943,towards a top down approach to teaching an undergraduate grid computing course,3
486,944,estimating the impressionrank of web pages,0
487,945,web page sectioning using regex based template,0
488,947,detecting changes in large data sets of payment card data a case study,0
489,949,towards efficient computation of error bounded solutions in pomdps expected value approximation and dynamic disjunctive beliefs,2
490,950,incremental least squares policy iteration for pomdps,2
491,952,robust and self repairing formation control for swarms of mobile agents,2
492,953,designing distributed applications with mobile code paradigms,3
493,954,class driven attribute extraction,4
494,955,active algorithm selection,2
495,956,middleware based database replication the gaps between theory and practice,1
496,958,constraint projections for ensemble learning,2
497,959,a comparative study of the effect of search feature design on user experience in digital libraries dls,0
498,963,defensive climate in the computer science classroom,3
499,964,topic analysis for topic focused multi document summarization,0
500,965,scoring missing terms in information retrieval tasks,0
501,966,random sampling from b trees,1
502,967,leveraging the margin more carefully,2
503,968,adaptable pointer swizzling strategies in object bases,1
504,969,the effects of analysing cohesion on document summarisation,4
505,970,towards a unified approach to memory  and statistical based machine translation,4
506,974,a case study of distributed asynchronous software inspection,3
507,976,performance in practical problem solving,2
508,978,on efficiently implementing schemasql on an sql database system,1
509,979,experiences with the webware interfaces and networking experimental laboratory,3
510,980,special issue on rule management and processing in expert database systems   letter from the guest editor,1
511,981,a unified relevance model for opinion retrieval,0
512,984,some principles of good language design with especial reference to the design of database languages,1
513,986,walking through a very large virtual environment in real time,1
514,987,evaluating document retrieval in patent database a preliminary report,0
515,990,online community search using thread structure,0
516,993,graph construction and  matching for semi supervised learning,2
517,994,applying co training to reference resolution,4
518,995,tag ranking,0
519,997,exploratory interaction with a bayesian argumentation system,2
520,999,counting complexity of propositional abduction,2
521,1001,window join approximation over data streams with importance semantics,0
522,1002,on strictness and its analysis,3
523,1003,knowledge driven dimension reduction for clustering,2
524,1010,evaluation of database recursive logic programs as recurrent function series,1
525,1011,a first computing course based on curricula 1991,3
526,1012,incentives for social annotation,0
527,1016,checking type safety of foreign function calls,3
528,1018,robust estimation with sampling and approximate pre aggregation,1
529,1019,the computer science major within a liberal arts environment abstract,3
530,1021,data validation during diagnosis a step beyond traditional sensor validation,2
531,1023,algebraic query languages on temporal databases with multiple time granularities,0
532,1026,the modeling of simple analogic and inductive processes in a semantic memory system,2
533,1031,the locker metaphor to teach dynamic memory,3
534,1032,extensiblerule based query rewrite optimization in starburst,1
535,1035,learning to solve game trees,2
536,1036,creating a computer security curriculum in a software engineering program,3
537,1038,coarse to fine syntactic machine translation using language projections,4
538,1040,skip and prune cosine based top k query processing for efficient context sensitive document retrieval,1
539,1042,knowledge state reconsideration hindsight belief revision,2
540,1043,optimistic methods for concurrency control in distributed database systems,1
541,1046,function materialization in object bases,1
542,1047,major topic detection and its application to opinion summarization,0
543,1048,passenger based predictive modeling of airline no show rates,0
544,1051,fair division as a means of apportioning software engineering class projects,3
545,1053,partial order embedding with multiple kernels,2
546,1055,supporting partial data accesses to replicated data,1
547,1059,head corner parsing for discontinuous constituency,4
548,1063,an automatic method of finding topic boundaries,4
549,1064,reliable information retrieval evaluation with incomplete and biased judgements,0
550,1067,object versioning in ode,1
551,1070,wise automated test generation for worst case complexity,3
552,1072,the parameterized complexity of global constraints,2
553,1074,type elaboration and subtype completion for java bytecode,3
554,1079,a comparison of case based reasoning approaches,0
555,1080,using web browser interactions to predict task,0
556,1082,the baffling cs notions of as if and dont care,3
557,1083,automating fine concurrency control in object oriented databases,1
558,1085,representation of factual information by equations and their evaluation,3
559,1086,teaching experiences with a virtual network laboratory,3
560,1088,matrix proof methods for modal logics,2
561,1089,modeling business rules with situationactivation diagrams,1
562,1090,predicate projection in a bimodal spatial reasoning system,2
563,1091,evaluating semantic indexing techniques through cross language fingerprinting,0
564,1094,gregress extracting features from graph transactions for regression,2
565,1095,ohsumed an interactive retrieval evaluation and new large test collection for research,0
566,1097,projections for efficient document clustering,0
567,1098,anonymizing user profiles for personalized web search,0
568,1099,probabilistic tree adjoining grammar as a framework for statistical natural language processing,4
569,1101,a direct manipulation interface for boolean information retrieval via natural language query,0
570,1103,engineering with logic hol specification and symbolic evaluation testing for tcp implementations,3
571,1108,metapher   a key to extensible semantic analysis,4
572,1110,the design implementation and evaluation of a compiler algorithm for cpu energy reduction,3
573,1111,sniafl towards a static non interactive approach to feature location,3
574,1115,error bounds for approximate value iteration,2
575,1116,scaling up solving pomdps through value based clustering,2
576,1117,time period identification of events in text,4
577,1118,theoretical foundations for compensations in flow composition languages,3
578,1119,orchestra facilitating collaborative data sharing,1
579,1121,evolutionary clustering,0
580,1125,query processing in a relational database management system,1
581,1126,an index implementation supporting fast recovery for the postgres storage system,1
582,1127,finding parts in very large corpora,4
583,1129,overseas development for a major us ecommerce website,3
584,1134,discovering user profiles,0
585,1137,an extension of standard ml modules with subtyping and inheritance,3
586,1139,introduction to the special issue on semantic integration,1
587,1142,a fast unified optimal route query evaluation algorithm,0
588,1144,implementation of a graph based data model for complex objects,1
589,1147,disk aware discord discovery finding unusual time series in terabyte sized datasets,0
590,1148,online aggregation and continuous query support in mapreduce,1
591,1151,retrieval and feedback models for blog feed search,0
592,1152,robust support vector machine training via convex outlier ablation,2
